VonArm,NachArm,Von,Bis,Pkw,Krad,Rad,Lieferfzg,Lkw,Lastzug,Bus
1,2,12/10/21 00:00,12/10/21 00:15,1,0,0,0,0,0,0
1,3,12/10/21 00:00,12/10/21 00:15,2,0,0,0,0,0,0
2,1,12/10/21 00:00,12/10/21 00:15,0,0,0,0,0,0,0
2,3,12/10/21 00:00,12/10/21 00:15,2,0,0,0,0,1,0
3,1,12/10/21 00:00,12/10/21 00:15,5,0,0,0,0,0,0
3,2,12/10/21 00:00,12/10/21 00:15,5,0,0,0,0,0,0
1,2,12/10/21 00:15,12/10/21 00:30,0,0,0,0,0,0,0
1,3,12/10/21 00:15,12/10/21 00:30,4,0,0,0,0,0,0
2,1,12/10/21 00:15,12/10/21 00:30,0,0,0,0,0,0,0
2,3,12/10/21 00:15,12/10/21 00:30,0,0,0,0,0,0,0
3,1,12/10/21 00:15,12/10/21 00:30,8,0,0,0,0,0,0
3,2,12/10/21 00:15,12/10/21 00:30,9,0,0,0,0,0,0
1,2,12/10/21 00:30,12/10/21 00:45,0,0,0,0,0,0,0
1,3,12/10/21 00:30,12/10/21 00:45,0,0,0,0,0,0,0
2,1,12/10/21 00:30,12/10/21 00:45,0,0,0,0,0,0,0
2,3,12/10/21 00:30,12/10/21 00:45,1,0,0,0,0,0,0
3,1,12/10/21 00:30,12/10/21 00:45,3,0,0,0,0,0,0
3,2,12/10/21 00:30,12/10/21 00:45,4,0,0,0,0,0,0
1,2,12/10/21 00:45,12/10/21 01:00,0,0,0,0,0,0,0
1,3,12/10/21 00:45,12/10/21 01:00,2,0,0,0,0,0,0
2,1,12/10/21 00:45,12/10/21 01:00,0,0,0,0,0,0,0
2,3,12/10/21 00:45,12/10/21 01:00,1,0,0,0,0,0,0
3,1,12/10/21 00:45,12/10/21 01:00,0,0,0,0,0,0,0
3,2,12/10/21 00:45,12/10/21 01:00,4,0,0,0,0,0,0
1,2,12/10/21 01:00,12/10/21 01:15,0,0,0,0,0,0,0
1,3,12/10/21 01:00,12/10/21 01:15,2,0,0,0,0,0,0
2,1,12/10/21 01:00,12/10/21 01:15,0,0,0,0,0,0,0
2,3,12/10/21 01:00,12/10/21 01:15,4,0,0,0,0,0,0
3,1,12/10/21 01:00,12/10/21 01:15,3,0,0,0,0,0,0
3,2,12/10/21 01:00,12/10/21 01:15,2,0,0,0,0,0,0
1,2,12/10/21 01:15,12/10/21 01:30,0,0,0,0,0,0,0
1,3,12/10/21 01:15,12/10/21 01:30,0,0,0,0,0,0,0
2,1,12/10/21 01:15,12/10/21 01:30,0,0,0,0,0,0,0
2,3,12/10/21 01:15,12/10/21 01:30,1,0,0,0,0,0,0
3,1,12/10/21 01:15,12/10/21 01:30,1,0,0,0,0,0,0
3,2,12/10/21 01:15,12/10/21 01:30,0,0,0,0,0,0,0
1,2,12/10/21 01:30,12/10/21 01:45,0,0,0,0,0,0,0
1,3,12/10/21 01:30,12/10/21 01:45,0,0,0,0,0,0,0
2,1,12/10/21 01:30,12/10/21 01:45,0,0,0,0,0,0,0
2,3,12/10/21 01:30,12/10/21 01:45,1,0,0,0,0,0,0
3,1,12/10/21 01:30,12/10/21 01:45,1,0,0,0,0,0,0
3,2,12/10/21 01:30,12/10/21 01:45,2,0,0,0,0,0,0
1,2,12/10/21 01:45,12/10/21 02:00,1,0,0,0,0,0,0
1,3,12/10/21 01:45,12/10/21 02:00,3,0,0,1,0,0,0
2,1,12/10/21 01:45,12/10/21 02:00,0,0,0,0,0,0,0
2,3,12/10/21 01:45,12/10/21 02:00,1,0,0,0,0,1,0
3,1,12/10/21 01:45,12/10/21 02:00,1,0,0,0,0,1,0
3,2,12/10/21 01:45,12/10/21 02:00,0,0,0,0,0,0,0
1,2,12/10/21 02:00,12/10/21 02:15,0,0,0,0,0,0,0
1,3,12/10/21 02:00,12/10/21 02:15,0,0,0,0,0,0,0
2,1,12/10/21 02:00,12/10/21 02:15,0,0,0,0,0,0,0
2,3,12/10/21 02:00,12/10/21 02:15,0,0,0,0,0,0,0
3,1,12/10/21 02:00,12/10/21 02:15,1,0,0,0,0,0,0
3,2,12/10/21 02:00,12/10/21 02:15,0,0,0,0,0,0,0
1,2,12/10/21 02:15,12/10/21 02:30,0,0,0,0,0,0,0
1,3,12/10/21 02:15,12/10/21 02:30,0,0,0,0,0,0,0
2,1,12/10/21 02:15,12/10/21 02:30,0,0,0,0,0,0,0
2,3,12/10/21 02:15,12/10/21 02:30,0,0,0,0,0,0,0
3,1,12/10/21 02:15,12/10/21 02:30,1,0,0,0,0,0,0
3,2,12/10/21 02:15,12/10/21 02:30,3,0,0,0,0,0,0
1,2,12/10/21 02:30,12/10/21 02:45,0,0,0,0,0,0,0
1,3,12/10/21 02:30,12/10/21 02:45,1,0,0,0,0,0,0
2,1,12/10/21 02:30,12/10/21 02:45,0,0,0,0,0,0,0
2,3,12/10/21 02:30,12/10/21 02:45,1,0,0,0,0,0,0
3,1,12/10/21 02:30,12/10/21 02:45,0,0,0,0,0,0,0
3,2,12/10/21 02:30,12/10/21 02:45,0,0,0,0,0,0,0
1,2,12/10/21 02:45,12/10/21 03:00,0,0,0,0,0,0,0
1,3,12/10/21 02:45,12/10/21 03:00,1,0,0,0,0,0,0
2,1,12/10/21 02:45,12/10/21 03:00,0,0,0,0,0,0,0
2,3,12/10/21 02:45,12/10/21 03:00,0,0,0,0,0,0,0
3,1,12/10/21 02:45,12/10/21 03:00,0,0,0,0,0,0,0
3,2,12/10/21 02:45,12/10/21 03:00,0,0,0,0,0,0,0
1,2,12/10/21 03:00,12/10/21 03:15,0,0,0,1,0,0,0
1,3,12/10/21 03:00,12/10/21 03:15,0,0,0,0,0,0,0
2,1,12/10/21 03:00,12/10/21 03:15,0,0,0,0,0,0,0
2,3,12/10/21 03:00,12/10/21 03:15,0,0,0,0,0,0,0
3,1,12/10/21 03:00,12/10/21 03:15,1,0,0,1,0,0,0
3,2,12/10/21 03:00,12/10/21 03:15,1,0,0,0,0,0,0
1,2,12/10/21 03:15,12/10/21 03:30,0,0,0,0,0,0,0
1,3,12/10/21 03:15,12/10/21 03:30,2,0,0,0,0,0,0
2,1,12/10/21 03:15,12/10/21 03:30,0,0,0,0,0,0,0
2,3,12/10/21 03:15,12/10/21 03:30,1,0,0,0,0,0,0
3,1,12/10/21 03:15,12/10/21 03:30,1,0,0,0,0,0,0
3,2,12/10/21 03:15,12/10/21 03:30,0,0,0,0,0,0,0
1,2,12/10/21 03:30,12/10/21 03:45,0,0,0,0,0,0,0
1,3,12/10/21 03:30,12/10/21 03:45,0,0,0,0,0,0,0
2,1,12/10/21 03:30,12/10/21 03:45,0,0,0,0,0,0,0
2,3,12/10/21 03:30,12/10/21 03:45,2,0,0,0,0,0,0
3,1,12/10/21 03:30,12/10/21 03:45,1,0,0,0,0,0,0
3,2,12/10/21 03:30,12/10/21 03:45,0,0,0,0,0,0,0
1,2,12/10/21 03:45,12/10/21 04:00,0,0,0,0,0,0,0
1,3,12/10/21 03:45,12/10/21 04:00,1,0,0,1,0,1,0
2,1,12/10/21 03:45,12/10/21 04:00,1,0,0,0,0,0,0
2,3,12/10/21 03:45,12/10/21 04:00,4,0,0,0,0,0,0
3,1,12/10/21 03:45,12/10/21 04:00,2,0,0,0,0,0,0
3,2,12/10/21 03:45,12/10/21 04:00,0,0,0,0,0,0,0
1,2,12/10/21 04:00,12/10/21 04:15,0,0,0,0,0,0,0
1,3,12/10/21 04:00,12/10/21 04:15,1,0,0,0,0,0,0
2,1,12/10/21 04:00,12/10/21 04:15,0,0,0,0,0,0,0
2,3,12/10/21 04:00,12/10/21 04:15,10,0,0,0,0,1,0
3,1,12/10/21 04:00,12/10/21 04:15,1,0,0,1,1,0,0
3,2,12/10/21 04:00,12/10/21 04:15,0,0,0,0,0,0,0
1,2,12/10/21 04:15,12/10/21 04:30,0,0,0,0,0,0,0
1,3,12/10/21 04:15,12/10/21 04:30,6,0,0,1,0,0,0
2,1,12/10/21 04:15,12/10/21 04:30,0,0,0,0,0,0,0
2,3,12/10/21 04:15,12/10/21 04:30,12,0,0,3,0,0,0
3,1,12/10/21 04:15,12/10/21 04:30,0,0,0,0,0,0,0
3,2,12/10/21 04:15,12/10/21 04:30,0,0,0,0,0,0,0
1,2,12/10/21 04:30,12/10/21 04:45,0,0,0,0,0,0,0
1,3,12/10/21 04:30,12/10/21 04:45,6,0,0,0,1,2,0
2,1,12/10/21 04:30,12/10/21 04:45,0,0,0,0,0,0,0
2,3,12/10/21 04:30,12/10/21 04:45,9,0,0,0,0,0,0
3,1,12/10/21 04:30,12/10/21 04:45,2,0,0,2,0,0,0
3,2,12/10/21 04:30,12/10/21 04:45,2,0,0,0,0,1,0
1,2,12/10/21 04:45,12/10/21 05:00,0,0,0,0,0,0,0
1,3,12/10/21 04:45,12/10/21 05:00,17,0,0,0,0,0,0
2,1,12/10/21 04:45,12/10/21 05:00,0,0,0,0,0,0,0
2,3,12/10/21 04:45,12/10/21 05:00,18,0,0,1,0,1,0
3,1,12/10/21 04:45,12/10/21 05:00,1,0,0,1,1,1,0
3,2,12/10/21 04:45,12/10/21 05:00,1,0,0,0,0,0,0
1,2,12/10/21 05:00,12/10/21 05:15,1,0,0,0,0,0,0
1,3,12/10/21 05:00,12/10/21 05:15,27,0,0,0,0,1,0
2,1,12/10/21 05:00,12/10/21 05:15,1,0,0,0,0,0,0
2,3,12/10/21 05:00,12/10/21 05:15,36,0,0,1,1,0,0
3,1,12/10/21 05:00,12/10/21 05:15,6,0,0,0,0,0,0
3,2,12/10/21 05:00,12/10/21 05:15,5,0,0,0,0,0,0
1,2,12/10/21 05:15,12/10/21 05:30,2,0,0,0,0,0,0
1,3,12/10/21 05:15,12/10/21 05:30,41,0,0,0,0,0,0
2,1,12/10/21 05:15,12/10/21 05:30,2,0,0,0,0,0,0
2,3,12/10/21 05:15,12/10/21 05:30,57,0,0,2,0,1,0
3,1,12/10/21 05:15,12/10/21 05:30,9,0,0,0,0,0,0
3,2,12/10/21 05:15,12/10/21 05:30,6,0,0,0,0,0,0
1,2,12/10/21 05:30,12/10/21 05:45,2,0,0,0,0,0,0
1,3,12/10/21 05:30,12/10/21 05:45,56,0,0,2,0,0,0
2,1,12/10/21 05:30,12/10/21 05:45,3,1,0,0,0,0,0
2,3,12/10/21 05:30,12/10/21 05:45,73,0,0,7,0,0,1
3,1,12/10/21 05:30,12/10/21 05:45,11,1,0,1,2,0,0
3,2,12/10/21 05:30,12/10/21 05:45,10,0,0,1,0,0,0
1,2,12/10/21 05:45,12/10/21 06:00,0,0,0,0,0,0,0
1,3,12/10/21 05:45,12/10/21 06:00,43,0,0,2,0,0,0
2,1,12/10/21 05:45,12/10/21 06:00,6,0,1,0,0,0,1
2,3,12/10/21 05:45,12/10/21 06:00,53,0,0,3,0,0,0
3,1,12/10/21 05:45,12/10/21 06:00,17,0,0,0,0,0,0
3,2,12/10/21 05:45,12/10/21 06:00,9,0,0,0,0,0,1
1,2,12/10/21 06:00,12/10/21 06:15,3,0,0,0,1,0,0
1,3,12/10/21 06:00,12/10/21 06:15,50,0,0,3,0,0,1
2,1,12/10/21 06:00,12/10/21 06:15,2,0,0,0,0,0,0
2,3,12/10/21 06:00,12/10/21 06:15,60,0,0,5,0,0,1
3,1,12/10/21 06:00,12/10/21 06:15,15,0,0,0,0,0,0
3,2,12/10/21 06:00,12/10/21 06:15,13,0,0,0,0,0,0
1,2,12/10/21 06:15,12/10/21 06:30,0,0,0,1,0,0,0
1,3,12/10/21 06:15,12/10/21 06:30,67,0,0,4,1,1,0
2,1,12/10/21 06:15,12/10/21 06:30,4,0,0,2,0,0,0
2,3,12/10/21 06:15,12/10/21 06:30,87,0,0,3,1,0,0
3,1,12/10/21 06:15,12/10/21 06:30,29,0,0,0,2,0,0
3,2,12/10/21 06:15,12/10/21 06:30,18,0,0,1,1,1,0
1,2,12/10/21 06:30,12/10/21 06:45,1,1,0,1,0,0,0
