VonArm,NachArm,Von,Bis,Pkw,Krad,Rad,Lieferfzg,Lkw,Lastzug,Bus
3,1,10/12/2021 0:00,10/12/2021 0:15,19,0,0,1,0,0,0
3,4,10/12/2021 0:00,10/12/2021 0:15,2,0,0,0,0,0,0
4,1,10/12/2021 0:00,10/12/2021 0:15,0,0,0,0,0,0,0
4,3,10/12/2021 0:00,10/12/2021 0:15,1,0,0,0,0,0,0
5,3,10/12/2021 0:00,10/12/2021 0:15,17,1,0,1,1,0,0
5,4,10/12/2021 0:00,10/12/2021 0:15,0,0,0,0,0,0,0
6,1,10/12/2021 0:00,10/12/2021 0:15,2,0,0,0,0,0,0
3,1,10/12/2021 0:15,10/12/2021 0:30,14,0,0,0,0,0,0
3,4,10/12/2021 0:15,10/12/2021 0:30,2,0,0,0,0,0,0
4,1,10/12/2021 0:15,10/12/2021 0:30,2,0,0,0,0,0,0
4,3,10/12/2021 0:15,10/12/2021 0:30,0,0,0,0,0,0,0
5,3,10/12/2021 0:15,10/12/2021 0:30,11,0,0,1,0,0,0
5,4,10/12/2021 0:15,10/12/2021 0:30,0,0,0,0,0,0,0
6,1,10/12/2021 0:15,10/12/2021 0:30,2,0,0,0,0,0,0
3,1,10/12/2021 0:30,10/12/2021 0:45,11,0,0,1,0,0,0
3,4,10/12/2021 0:30,10/12/2021 0:45,0,0,0,0,0,0,0
4,1,10/12/2021 0:30,10/12/2021 0:45,1,0,0,0,0,0,0
4,3,10/12/2021 0:30,10/12/2021 0:45,0,0,0,0,0,0,0
5,3,10/12/2021 0:30,10/12/2021 0:45,17,0,0,0,1,0,0
5,4,10/12/2021 0:30,10/12/2021 0:45,1,0,0,0,0,0,0
6,1,10/12/2021 0:30,10/12/2021 0:45,1,0,0,0,0,0,0
3,1,10/12/2021 0:45,10/12/2021 1:00,14,0,0,1,0,0,0
3,4,10/12/2021 0:45,10/12/2021 1:00,3,0,0,0,0,0,0
4,1,10/12/2021 0:45,10/12/2021 1:00,2,0,0,0,0,0,0
4,3,10/12/2021 0:45,10/12/2021 1:00,2,0,0,0,0,0,0
5,3,10/12/2021 0:45,10/12/2021 1:00,7,0,0,1,0,0,0
5,4,10/12/2021 0:45,10/12/2021 1:00,0,0,0,0,0,0,0
6,1,10/12/2021 0:45,10/12/2021 1:00,1,0,0,0,0,0,0
3,1,10/12/2021 1:00,10/12/2021 1:15,7,0,0,0,0,0,0
3,4,10/12/2021 1:00,10/12/2021 1:15,0,0,0,0,0,0,0
4,1,10/12/2021 1:00,10/12/2021 1:15,0,0,0,0,0,0,0
4,3,10/12/2021 1:00,10/12/2021 1:15,1,0,0,0,0,0,0
5,3,10/12/2021 1:00,10/12/2021 1:15,9,0,0,0,0,0,0
5,4,10/12/2021 1:00,10/12/2021 1:15,0,0,0,0,0,0,0
6,1,10/12/2021 1:00,10/12/2021 1:15,2,0,0,0,0,0,0
3,1,10/12/2021 1:15,10/12/2021 1:30,5,0,0,0,0,0,0
3,4,10/12/2021 1:15,10/12/2021 1:30,0,0,0,0,0,0,0
4,1,10/12/2021 1:15,10/12/2021 1:30,0,0,0,0,0,0,0
4,3,10/12/2021 1:15,10/12/2021 1:30,1,0,0,0,0,0,0
5,3,10/12/2021 1:15,10/12/2021 1:30,8,0,0,0,0,0,0
5,4,10/12/2021 1:15,10/12/2021 1:30,0,0,0,0,0,0,0
6,1,10/12/2021 1:15,10/12/2021 1:30,0,0,0,0,0,0,0
3,1,10/12/2021 1:30,10/12/2021 1:45,10,0,0,0,0,0,0
3,4,10/12/2021 1:30,10/12/2021 1:45,1,0,0,0,0,0,0
4,1,10/12/2021 1:30,10/12/2021 1:45,1,0,0,0,0,0,0
4,3,10/12/2021 1:30,10/12/2021 1:45,0,0,0,0,0,0,0
5,3,10/12/2021 1:30,10/12/2021 1:45,6,0,0,0,1,0,0
5,4,10/12/2021 1:30,10/12/2021 1:45,0,0,0,0,0,0,0
6,1,10/12/2021 1:30,10/12/2021 1:45,2,0,0,0,0,0,0
3,1,10/12/2021 1:45,10/12/2021 2:00,6,0,0,2,0,0,0
3,4,10/12/2021 1:45,10/12/2021 2:00,1,0,0,0,0,0,0
4,1,10/12/2021 1:45,10/12/2021 2:00,0,0,0,0,0,0,0
4,3,10/12/2021 1:45,10/12/2021 2:00,0,0,0,0,0,0,0
5,3,10/12/2021 1:45,10/12/2021 2:00,12,0,0,0,0,0,0
5,4,10/12/2021 1:45,10/12/2021 2:00,0,0,0,0,0,0,0
6,1,10/12/2021 1:45,10/12/2021 2:00,1,0,0,0,0,0,0
3,1,10/12/2021 2:00,10/12/2021 2:15,5,0,0,0,0,0,0
3,4,10/12/2021 2:00,10/12/2021 2:15,0,0,0,0,0,0,0
4,1,10/12/2021 2:00,10/12/2021 2:15,0,0,0,0,0,0,0
4,3,10/12/2021 2:00,10/12/2021 2:15,0,0,0,0,0,0,0
5,3,10/12/2021 2:00,10/12/2021 2:15,8,0,0,0,0,0,0
5,4,10/12/2021 2:00,10/12/2021 2:15,1,0,0,0,0,0,0
6,1,10/12/2021 2:00,10/12/2021 2:15,0,0,0,0,0,0,0
3,1,10/12/2021 2:15,10/12/2021 2:30,3,0,0,0,0,0,0
3,4,10/12/2021 2:15,10/12/2021 2:30,0,0,0,0,0,0,0
