VonArm,NachArm,Von,Bis,Pkw,Krad,Rad,Lieferfzg,Lkw,Lastzug,Bus
4,3,10/12/2021 0:00,10/12/2021 0:15,3,0,0,0,0,0,0
4,3,10/12/2021 0:15,10/12/2021 0:30,2,0,0,0,0,0,0
4,3,10/12/2021 0:30,10/12/2021 0:45,0,0,0,0,0,0,0
4,3,10/12/2021 0:45,10/12/2021 1:00,2,0,0,0,0,0,0
4,3,10/12/2021 1:00,10/12/2021 1:15,0,0,0,0,0,0,0
4,3,10/12/2021 1:15,10/12/2021 1:30,1,0,0,0,0,0,0
4,3,10/12/2021 1:30,10/12/2021 1:45,0,0,0,0,0,0,0
4,3,10/12/2021 1:45,10/12/2021 2:00,1,0,0,0,0,0,0
4,3,10/12/2021 2:00,10/12/2021 2:15,0,0,0,0,0,0,0
4,3,10/12/2021 2:15,10/12/2021 2:30,0,0,0,0,0,0,0
4,3,10/12/2021 2:30,10/12/2021 2:45,0,0,0,0,0,0,0
4,3,10/12/2021 2:45,10/12/2021 3:00,0,0,0,0,0,0,0
4,3,10/12/2021 3:00,10/12/2021 3:15,1,0,0,0,0,0,0
4,3,10/12/2021 3:15,10/12/2021 3:30,1,0,0,0,0,0,0
4,3,10/12/2021 3:30,10/12/2021 3:45,0,0,0,0,0,0,0
4,3,10/12/2021 3:45,10/12/2021 4:00,0,0,0,0,0,0,0
4,3,10/12/2021 4:00,10/12/2021 4:15,1,0,0,0,0,0,0
4,3,10/12/2021 4:15,10/12/2021 4:30,0,0,0,0,0,0,0
4,3,10/12/2021 4:30,10/12/2021 4:45,2,0,0,0,0,0,0
4,3,10/12/2021 4:45,10/12/2021 5:00,2,0,0,0,0,0,0
4,3,10/12/2021 5:00,10/12/2021 5:15,7,0,0,0,0,0,0
4,3,10/12/2021 5:15,10/12/2021 5:30,8,0,0,0,0,0,0
4,3,10/12/2021 5:30,10/12/2021 5:45,6,0,0,0,0,0,0
4,3,10/12/2021 5:45,10/12/2021 6:00,11,0,0,1,0,0,0
4,3,10/12/2021 6:00,10/12/2021 6:15,11,0,0,2,0,0,0
4,3,10/12/2021 6:15,10/12/2021 6:30,12,0,0,0,0,0,0
4,3,10/12/2021 6:30,10/12/2021 6:45,11,0,0,1,0,0,0
4,3,10/12/2021 6:45,10/12/2021 7:00,21,0,0,2,0,0,0
4,3,10/12/2021 7:00,10/12/2021 7:15,19,0,0,2,0,0,0
4,3,10/12/2021 7:15,10/12/2021 7:30,25,0,0,3,1,0,0
4,3,10/12/2021 7:30,10/12/2021 7:45,29,0,0,0,1,0,0
4,3,10/12/2021 7:45,10/12/2021 8:00,45,0,0,3,1,0,0
4,3,10/12/2021 8:00,10/12/2021 8:15,21,0,0,1,1,0,0
4,3,10/12/2021 8:15,10/12/2021 8:30,28,0,0,4,0,0,0
4,3,10/12/2021 8:30,10/12/2021 8:45,21,0,0,2,3,0,0
4,3,10/12/2021 8:45,10/12/2021 9:00,28,0,0,1,1,0,0
4,3,10/12/2021 9:00,10/12/2021 9:15,23,0,0,0,0,0,0
4,3,10/12/2021 9:15,10/12/2021 9:30,18,0,0,1,1,0,0
4,3,10/12/2021 9:30,10/12/2021 9:45,15,0,0,1,0,0,0
4,3,10/12/2021 9:45,10/12/2021 10:00,15,0,0,1,1,0,0
4,3,10/12/2021 10:00,10/12/2021 10:15,21,0,0,2,0,0,0
4,3,10/12/2021 10:15,10/12/2021 10:30,20,0,0,0,0,0,0
4,3,10/12/2021 10:30,10/12/2021 10:45,22,0,0,3,0,0,0
4,3,10/12/2021 10:45,10/12/2021 11:00,18,0,0,2,0,0,0
4,3,10/12/2021 11:00,10/12/2021 11:15,28,0,0,0,2,0,0
4,3,10/12/2021 11:15,10/12/2021 11:30,21,0,0,0,0,0,0
4,3,10/12/2021 11:30,10/12/2021 11:45,22,0,0,0,0,1,0
4,3,10/12/2021 11:45,10/12/2021 12:00,28,0,0,1,0,1,0
4,3,10/12/2021 12:00,10/12/2021 12:15,26,1,0,0,0,0,0
4,3,10/12/2021 12:15,10/12/2021 12:30,29,0,0,4,0,0,0
4,3,10/12/2021 12:30,10/12/2021 12:45,23,0,0,1,0,0,0
4,3,10/12/2021 12:45,10/12/2021 13:00,13,0,0,0,0,0,0
4,3,10/12/2021 13:00,10/12/2021 13:15,23,0,0,1,0,0,0
4,3,10/12/2021 13:15,10/12/2021 13:30,19,0,0,0,0,0,0
4,3,10/12/2021 13:30,10/12/2021 13:45,18,0,0,1,0,1,0
4,3,10/12/2021 13:45,10/12/2021 14:00,16,0,0,1,0,0,0
4,3,10/12/2021 14:00,10/12/2021 14:15,19,0,0,0,0,0,0
4,3,10/12/2021 14:15,10/12/2021 14:30,23,0,0,2,0,0,0
4,3,10/12/2021 14:30,10/12/2021 14:45,22,0,0,1,0,0,0
4,3,10/12/2021 14:45,10/12/2021 15:00,19,0,1,4,0,0,0
4,3,10/12/2021 15:00,10/12/2021 15:15,23,0,0,2,0,0,0
4,3,10/12/2021 15:15,10/12/2021 15:30,31,0,0,0,0,0,0
4,3,10/12/2021 15:30,10/12/2021 15:45,26,0,0,5,0,0,1
4,3,10/12/2021 15:45,10/12/2021 16:00,33,0,0,2,0,0,0
4,3,10/12/2021 16:00,10/12/2021 16:15,30,0,0,1,1,0,0
4,3,10/12/2021 16:15,10/12/2021 16:30,22,0,0,2,0,0,0
4,3,10/12/2021 16:30,10/12/2021 16:45,20,0,0,1,0,0,0
4,3,10/12/2021 16:45,10/12/2021 17:00,41,0,0,4,1,0,0
4,3,10/12/2021 17:00,10/12/2021 17:15,53,0,0,2,0,0,0
4,3,10/12/2021 17:15,10/12/2021 17:30,18,0,0,1,0,0,0
4,3,10/12/2021 17:30,10/12/2021 17:45,27,0,0,1,0,0,0
4,3,10/12/2021 17:45,10/12/2021 18:00,27,0,0,1,0,0,0
4,3,10/12/2021 18:00,10/12/2021 18:15,18,0,0,2,0,0,0
4,3,10/12/2021 18:15,10/12/2021 18:30,24,0,0,2,1,0,0
4,3,10/12/2021 18:30,10/12/2021 18:45,22,0,0,1,0,0,0
4,3,10/12/2021 18:45,10/12/2021 19:00,27,0,0,1,1,0,0
4,3,10/12/2021 19:00,10/12/2021 19:15,28,0,0,0,0,0,0
4,3,10/12/2021 19:15,10/12/2021 19:30,22,0,0,0,0,0,0
4,3,10/12/2021 19:30,10/12/2021 19:45,17,0,0,0,0,0,0
4,3,10/12/2021 19:45,10/12/2021 20:00,16,0,0,0,0,0,0
4,3,10/12/2021 20:00,10/12/2021 20:15,12,0,0,0,0,0,0
4,3,10/12/2021 20:15,10/12/2021 20:30,8,0,0,0,0,0,0
4,3,10/12/2021 20:30,10/12/2021 20:45,11,0,0,0,0,0,0
4,3,10/12/2021 20:45,10/12/2021 21:00,11,0,0,0,0,0,0
4,3,10/12/2021 21:00,10/12/2021 21:15,13,0,0,0,0,0,0
4,3,10/12/2021 21:15,10/12/2021 21:30,11,0,0,0,0,0,0
4,3,10/12/2021 21:30,10/12/2021 21:45,8,0,0,1,0,0,0
4,3,10/12/2021 21:45,10/12/2021 22:00,6,0,0,0,0,0,0
4,3,10/12/2021 22:00,10/12/2021 22:15,4,0,0,0,0,0,0
4,3,10/12/2021 22:15,10/12/2021 22:30,5,0,0,0,0,0,0
4,3,10/12/2021 22:30,10/12/2021 22:45,12,0,0,0,0,0,0
4,3,10/12/2021 22:45,10/12/2021 23:00,7,0,0,0,0,0,0
4,3,10/12/2021 23:00,10/12/2021 23:15,1,0,0,0,0,0,0
4,3,10/12/2021 23:15,10/12/2021 23:30,5,0,0,0,0,0,0
4,3,10/12/2021 23:30,10/12/2021 23:45,2,0,0,0,0,0,0
4,3,10/12/2021 23:45,10/13/2021 0:00,2,0,0,0,0,0,0
